Kode Properti,Kecamatan, Price , Price_Sudah ,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Tamu,Jumlah Lantai,Terjangkau Internet,Kondisi Properti
P204,sukolilo,800000000 ,800 ,2,1,45,50,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P205,sukolilo,800000000 ,800 ,2,1,45,50,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P206,sukolilo,800000000 ,800 ,2,1,45,50,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P207,sukolilo,800000000 ,800 ,2,1,45,50,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P208,sukolilo,800000000 ,800 ,2,1,45,90,HGB - Hak Guna Bangunan,2200,1,2,1,4
P209,sukolilo,800000000 ,800 ,2,2,45,59,HGB - Hak Guna Bangunan,2200,1,2,1,4
P210,sukolilo,800000000 ,800 ,5,3,45,60,HGB - Hak Guna Bangunan,2200,1,2,1,4
P211,sukolilo,800000000 ,800 ,2,1,45,60,HGB - Hak Guna Bangunan,2200,0,2,1,4
P212,sukolilo,800000000 ,800 ,2,1,45,60,HGB - Hak Guna Bangunan,2200,0,2,1,4
P213,sukolilo,800000000 ,800 ,1,2,45,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P214,wonokromo,800000000 ,800 ,2,2,45,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P215,sukolilo,800000000 ,800 ,3,2,50,80,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P216,sukolilo,800000000 ,800 ,3,2,50,80,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P217,sukolilo,800000000 ,800 ,3,2,50,65,HGB - Hak Guna Bangunan,2200,0,2,1,4
P218,simokerto,800000000 ,800 ,3,2,52,112,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P219,kenjeran,800000000 ,800 ,3,2,59,120,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P220,sukolilo,800000000 ,800 ,2,2,60,100,HGB - Hak Guna Bangunan,1300,1,2,1,4
